Latitude,Longitude,"Current index","Forecast index"
49.7,-8.2,2,3
49.7,-8.1,2,3
49.7,-8,2,3
49.7,-7.9,2,3
49.7,-7.8,2,3
49.7,-7.7,2,3
49.7,-7.6,2,3
49.7,-7.5,2,3
49.7,-7.4,2,3
49.7,-7.3,2,3
49.7,-7.2,2,3
49.7,-7.1,2,3
49.7,-7,2,3
49.7,-6.9,2,3
49.7,-6.8,2,3
49.7,-6.7,2,3
49.7,-6.6,2,3
49.7,-6.5,2,3
49.7,-6.4,2,3
49.7,-6.3,2,3
49.7,-6.2,2,3
49.7,-6.1,2,3
49.7,-6,2,3
49.7,-5.9,2,3
49.7,-5.8,2,3
49.7,-5.7,2,3
49.7,-5.6,2,3
49.7,-5.5,2,3
49.7,-5.4,2,3
49.7,-5.3,2,3
49.7,-5.2,2,3
49.7,-5.1,2,3
49.7,-5,2,3
49.7,-4.9,2,3
49.7,-4.8,2,3
49.7,-4.7,2,3
49.7,-4.6,2,3
49.7,-4.5,2,3
49.7,-4.4,2,3
49.7,-4.3,2,3
49.7,-4.2,2,3
49.7,-4.1,2,3
49.7,-4,2,3
49.7,-3.9,2,3
49.7,-3.8,2,3
49.7,-3.7,2,3
49.7,-3.6,2,3
49.7,-3.5,2,3
49.7,-3.4,2,3
49.7,-3.3,2,3
49.7,-3.2,2,3
49.7,-3.1,2,3
49.7,-3,2,3
49.7,-2.9,2,3
49.7,-2.8,2,3
49.7,-2.7,2,3
49.7,-2.6,2,3
49.7,-2.5,2,3
49.7,-2.4,2,3
49.7,-2.3,2,3
49.7,-2.2,2,3
49.7,-2.1,2,3
49.7,-2,2,3
49.7,-1.9,2,3
49.7,-1.8,2,3
49.7,-1.7,2,3
49.7,-1.6,2,3
49.7,-1.5,2,3
49.7,-1.4,2,3
49.7,-1.3,2,3
49.7,-1.2,2,3
49.7,-1.1,2,3
49.7,-1,2,3
49.7,-0.90000000000001,2,3
49.7,-0.80000000000001,2,3
49.7,-0.70000000000001,2,3
49.7,-0.60000000000001,2,3
49.7,-0.50000000000001,2,3
49.7,-0.40000000000001,2,3
49.7,-0.30000000000001,2,3
49.7,-0.20000000000001,2,3
49.7,-0.10000000000001,2,3
49.7,-1.168509733418E-14,2,3
49.7,0.099999999999988,2,3
49.7,0.19999999999999,2,3
49.7,0.29999999999999,2,3
49.7,0.39999999999999,2,3
49.7,0.49999999999999,2,3
49.7,0.59999999999999,3,3
49.7,0.69999999999999,3,3
49.7,0.79999999999999,3,3
49.7,0.89999999999999,3,3
49.7,0.99999999999999,3,3
49.7,1.1,3,3
49.7,1.2,3,3
49.7,1.3,3,3
49.7,1.4,2,3
49.7,1.5,2,3
49.7,1.6,2,3
49.7,1.7,2,3
49.8,-8.2,2,3
49.8,-8.1,2,3
49.8,-8,2,3
49.8,-7.9,2,3
49.8,-7.8,2,3
49.8,-7.7,2,3
49.8,-7.6,2,3
49.8,-7.5,2,3
49.8,-7.4,2,3
49.8,-7.3,2,3
49.8,-7.2,2,3
49.8,-7.1,2,3
49.8,-7,2,3
49.8,-6.9,2,3
49.8,-6.8,2,3
49.8,-6.7,2,3
49.8,-6.6,2,3
49.8,-6.5,2,3
49.8,-6.4,2,3
49.8,-6.3,2,3
49.8,-6.2,2,3
49.8,-6.1,2,3
49.8,-6,2,3
49.8,-5.9,2,3
49.8,-5.8,2,3
49.8,-5.7,2,3
49.8,-5.6,2,3
49.8,-5.5,2,3
49.8,-5.4,2,3
49.8,-5.3,2,3
49.8,-5.2,2,3
49.8,-5.1,2,3
49.8,-5,2,3
49.8,-4.9,2,3
49.8,-4.8,2,3
49.8,-4.7,2,3
49.8,-4.6,2,3
49.8,-4.5,2,3
49.8,-4.4,2,3
49.8,-4.3,2,3
49.8,-4.2,2,3
49.8,-4.1,2,3
49.8,-4,2,3
49.8,-3.9,2,3
49.8,-3.8,2,3
49.8,-3.7,2,3
49.8,-3.6,2,3
49.8,-3.5,2,3
49.8,-3.4,2,3
49.8,-3.3,2,3
49.8,-3.2,2,3
49.8,-3.1,2,3
49.8,-3,2,3
49.8,-2.9,2,3
49.8,-2.8,2,3
49.8,-2.7,2,3
49.8,-2.6,2,3
49.8,-2.5,2,3
49.8,-2.4,2,3
49.8,-2.3,2,3
49.8,-2.2,2,3
49.8,-2.1,2,3
49.8,-2,2,3
49.8,-1.9,2,3
49.8,-1.8,2,3
49.8,-1.7,2,3
49.8,-1.6,2,3
49.8,-1.5,2,3
49.8,-1.4,2,3
49.8,-1.3,2,3
49.8,-1.2,2,3
49.8,-1.1,2,3
49.8,-1,2,3
49.8,-0.90000000000001,2,3
49.8,-0.80000000000001,2,3
49.8,-0.70000000000001,2,3
49.8,-0.60000000000001,2,3
49.8,-0.50000000000001,2,3
49.8,-0.40000000000001,2,3
49.8,-0.30000000000001,2,3
49.8,-0.20000000000001,2,3
49.8,-0.10000000000001,2,3
49.8,-1.168509733418E-14,2,3
49.8,0.099999999999988,2,3
49.8,0.19999999999999,2,3
49.8,0.29999999999999,2,3
49.8,0.39999999999999,2,3
